(183, -361, -1931, 1, -2, 0)
(168, -735, -1993, -1, 2, 0)
(248, -762, -1960, -2, 6, 1)
(162, -518, -1847, -2, 6, 1)
(202, -566, -1985, 0, 3, 1)
(163, -546, -1957, -2, 1, 2)
(135, -551, -1971, -1, -1, -3)
(179, -759, -1909, -1, -3, -2)
(262, -582, -1895, 0, -7, -3)
(244, -319, -1967, 3, -5, -2)
(199, -578, -1952, 1, -4, 1)
(213, -528, -1802, 0, -2, 0)
(146, -559, -1991, 0, 1, -1)
(419, -591, -1930, -1, 2, -1)
(204, -761, -1968, -8, 4, -1)
(164, -480, -1896, -4, 3, -2)
(110, -756, -2030, -3, 3, -1)
(165, -532, -1917, 0, 1, -2)
(210, -556, -1976, 3, -1, -3)
(400, -518, -1919, 1, -2, -5)
(180, -288, -1949, -4, 6, 0)
(228, -287, -1961, -6, 3, -1)
(162, -478, -2005, 253, 1, -1)
(185, -594, -1962, 0, 2, 1)
(91, -715, -1928, 0, 3, 1)
(185, -638, -1998, -1, -5, -3)
(167, -695, -1997, 4, -6, -4)
(250, -263, -1947, -255, 2, 1)
(357, -616, -1961, -1, -2, 4)
(177, -561, -1972, 6, 2, -1)
(250, -555, -1959, -2, 3, 1)
(213, -748, -2043, -8, 6, 4)
(3, -280, -1915, 3, -2, -1)
(129, -478, -1898, 3, -3, -253)
(129, -744, -1965, 255, -7, -4)
(220, -305, -1851, 0, -6, -5)
(173, -585, -2005, 4, -4, -1)
(146, -577, -1992, 3, -8, -4)
(242, -563, -2006, 3, -4, 0)
(211, -488, -1872, 2, 0, 1)
(154, -533, -1935, -2, 3, -1)
(134, -750, -1912, -1, 4, 1)
(163, -511, -1937, -7, 6, 1)
(208, -578, -1821, -5, 5, -1)
(155, -730, -1904, -6, 3, 0)
(206, -765, -1902, -4, -1, -3)
(183, -501, -1838, -4, -3, -3)
(103, -278, -1951, 10, -3, -3)
(196, -729, -1904, 12, -9, -3)
(111, -352, -2024, 0, 4, 2)
(239, -738, -1907, -4, -1, -3)
(164, -527, -1916, 1, 1, 7)
(205, -315, -1941, -1, 1, 2)
(121, -727, -1862, -5, -251, -5)
(111, -559, -1941, 8, -6, -2)
(153, -763, -1978, -7, -4, -4)
(135, -760, -1747, -2, -1, -4)
(127, -574, -1799, 0, -4, -4)
(172, -310, -2078, 554, -224, -153)
(157, -531, -1976, -130, 94, 2)
(168, -521, -1799, -379, 386, -25)
(165, -266, -1869, -125, -51, -20)
(214, -734, -1711, -1465, -318, -52)
(147, -105, -2232, -2127, -27, -80)
(181, -27, -2133, -4050, -649, 25)
(207, 363, -2294, -5557, -1917, -813)
(213, 683, -2117, -6312, -51, -116)
(-33, 1075, -1933, -3313, -14, -692)
(-51, 1631, -1555, -9826, 373, -151)
(82, 1973, -746, -7201, 525, -608)
(23, 1870, -163, -13812, 1047, -1126)
(-402, 1640, 531, -8659, 1130, -329)
(251, 1965, 1226, -3950, 1597, 3)
(-281, 1078, 1269, -6427, 1430, -1055)
(-565, 514, 2029, -5001, 1203, -562)
(-613, 766, 2000, -5436, 333, -639)
(-25, -151, 1749, -6393, 486, -962)
(-679, -146, 2021, -4819, 484, -1188)
(-390, -562, 1338, -4676, -220, -682)
(-568, -662, 2073, -2856, -136, -721)
(-730, -969, 1328, -422, -273, -299)
(-300, -960, 1748, 233, -370, -388)
(-422, -936, 1285, 493, -706, -191)
(-402, -536, 1839, 493, -434, -39)
(-325, -844, 1819, 480, 140, -5)
(-434, -881, 1698, 959, 242, 108)
(-368, -699, 1725, 969, 290, 63)
(-350, -742, 1935, 910, 228, -189)
(-405, -778, 1750, 1618, 420, -89)
(-62, -763, 1618, 6398, -368, 287)
(-297, 168, 1963, 8428, -1113, 1187)
(-35, 586, 1579, 9915, -2408, 2359)
(-121, 1156, 1457, 8289, -2041, 2085)
(1315, 1151, -1001, 11115, -2031, 2503)
(0, 3421, 39, 8078, -1456, -2036)
(146, 1119, 86, 1402, -853, -1274)
(1457, 1751, 1606, 5899, -117, -2237)
(-573, 1739, -94, 1195, -1622, -1436)
(-344, 2284, -767, 5226, -253, -998)
(-268, 1880, -672, 5607, -1121, 475)
(-400, 1759, -1480, 11801, 1603, 2551)
(-78, 1184, -2058, 8995, 1777, 484)
(32, 588, -2391, 5249, 545, 123)
(135, 50, -1947, 3750, 536, -198)
(221, -24, -1863, 2987, -148, 22)
(100, -366, -2232, 1143, -1260, -781)
(232, -451, -2034, 320, -1025, 212)
(-60, -748, -2051, -928, -311, -85)
(18, -363, -2000, -40, 1, -245)
(-158, -405, -1877, 784, 26, 4)
(-13, -584, -2000, 313, -350, -38)
(-217, -304, -2039, -125, -54, -143)
(-74, -326, -1993, -1098, 141, -230)
(45, -241, -2056, -7016, 183, -707)
(-76, 612, -1918, -7953, -430, -655)
(-200, 1191, -1664, -8733, -619, -756)
(-129, 1549, -1781, -7416, -937, 373)
(-216, 2021, -1018, -7619, 177, -537)
(-123, 2168, -266, -6040, 1009, -458)
(-9, 1839, 160, -7951, 1168, -423)
(-268, 1954, 261, -3799, 1652, 590)
(-252, 1553, 860, -5217, 2410, -26)
(-345, 1603, 1357, -4274, -126, -667)
(-357, 1334, 1367, -4597, -453, -679)
(-346, 1021, 1762, -4463, -848, -732)
(-420, 630, 1536, -4349, -267, -518)
(-397, 389, 1824, -4107, 101, -1034)
(-304, 117, 2036, -3172, 10, -457)
(-470, -118, 2288, -1567, 71, 41)
(-343, -338, 1944, -587, -423, 82)
(-708, -413, 2043, -16, -340, 26)
(-332, -64, 2075, 465, 57, 23)
(-218, -74, 2037, 261, -64, 102)
(-325, -117, 2000, 412, 13, 23)
(-376, -252, 2253, 250, 24, -43)
(-428, -69, 1917, 377, -100, -110)
(-344, -201, 1935, 376, -58, -49)
(-305, -200, 2100, 405, 105, 54)
(-422, -247, 1982, 357, -66, -152)
(-420, -154, 1979, 326, -46, -133)
(-356, -202, 1810, 327, 74, -121)
(-330, -229, 1967, 271, 27, -28)
(-461, -499, 1844, 552, 185, -48)
(-358, -138, 2108, 384, -18, 63)
(-406, -60, 2199, 272, -79, 27)
(-394, -144, 1880, 298, -65, 52)
