(-3, 65, 1975, 287, 16, -6)
(-197, -205, 2135, 301, 46, -20)
(-230, 254, 1816, 250, -73, -103)
(74, -61, 1847, 67, -1, -21)
(112, -65, 2285, -10, -16, 79)
(204, -52, 2180, 208, -78, -24)
(42, 251, 2296, 169, -37, 95)
(241, 72, 2178, 94, 129, 78)
(-234, -43, 1934, 90, 64, 342)
(181, -209, 2162, -260, 51, 236)
(36, 7, 1893, 95, -29, -60)
(-200, -80, 2001, 247, 94, 84)
(-239, -81, 2162, 223, 201, 152)
(-69, 62, 2228, 99, 497, 253)
(-136, -48, 2163, 169, 61, 86)
(122, -90, 2263, 231, 187, 260)
(-136, -146, 2135, 323, -145, -73)
(-157, 131, 1834, 178, -36, -316)
(-110, 180, 2291, 116, 57, -39)
(-7, -12, 2209, 404, 55, 143)
(-18, 28, 1867, 334, 133, 370)
(-216, 89, 2281, 441, 147, 355)
(-352, 59, 2234, 414, -42, 291)
(-341, 446, 2287, 348, -2, 258)
(-60, 102, 2043, 413, 27, 171)
(-307, 206, 2065, 1022, 3, 200)
(-423, 284, 2040, 793, 112, -220)
(-151, 251, 2157, -156, -41, -412)
(-39, 356, 1897, -199, -152, -454)
(171, 161, 1938, -612, -290, -654)
(60, 145, 2120, 13, -203, -611)
(-113, 33, 1567, -89, 292, -1181)
(278, 269, 2264, 275, 176, -616)
(-256, 228, 2139, 211, 84, -491)
(-126, 132, 2263, 115, -582, -660)
(-28, 74, 2137, -112, -448, -308)
(-12, 46, 2060, -218, -236, -17)
(65, -8, 2112, -129, 81, 194)
(-188, 215, 2251, 21, -45, -136)
(188, 440, 2008, 115, -119, -108)
(132, 19, 2299, 147, -231, -249)
(37, 60, 2022, 69, -202, -89)
(133, -226, 2069, 219, -157, 32)
(138, -100, 2168, 127, -41, 168)
(79, 79, 2131, -82, -19, 228)
(157, 77, 2063, -249, 111, 504)
(74, 10, 2063, -132, 135, 447)
(216, -207, 1857, -181, 185, 653)
(-204, -149, 1886, 227, -69, 265)
(155, -174, 2389, -736, -121, 175)
(196, -193, 1975, 0, -88, 504)
(97, -503, 2262, 390, -146, 382)
(320, 204, 1974, 416, 157, 607)
(-230, 79, 2070, 361, -258, 370)
(-4, 69, 2457, 454, 183, 523)
(-184, -175, 2275, 363, 229, 171)
(-106, 2, 1950, 185, 241, -133)
(-91, 165, 2075, 97, 745, 304)
(-242, -156, 2264, 198, 639, 458)
(-152, 25, 1936, 241, 341, 325)
(-223, 115, 1965, 98, 141, 46)
(-296, -224, 2094, 59, 375, 396)
(-436, 164, 1896, 68, 358, 430)
(-436, 240, 2000, 152, 228, 212)
(-542, 167, 1793, 456, 143, -120)
(-703, 127, 2146, 898, -65, -816)
(-964, -209, 2012, 3758, -1162, -1720)
(-598, 2, 2519, 2131, -2130, -4154)
(1325, -2694, 2683, 2640, -3991, -4041)
(123, 1927, 2075, 18146, -4573, 5753)
(349, 1596, -590, 7302, -1612, 788)
(1017, 2119, -512, 1236, 1971, -250)
(167, 2089, 593, -643, 633, -632)
(173, 2039, 177, -1458, -1248, -723)
(118, 1764, -74, 819, -1657, -176)
(-220, -691, -816, 4899, 284, -2394)
(-77, 1440, -239, -2084, 379, 3604)
(-209, 1866, -348, -512, 484, 990)
(240, 2194, -844, -313, 136, -2263)
(104, 1930, -833, -312, -195, 1543)
(-105, 1920, -706, 2, -37, -386)
(77, 1912, -304, 252, -45, 138)
(-130, 2303, -543, 77, -35, 24)
(-165, 1382, -1975, 756, -19, 277)
(149, 1886, -2558, 755, 878, 18)
(172, 1843, -723, 673, -13, 237)
(148, 2050, -542, 521, 194, -29)
(94, 1884, -819, 399, -86, 251)
(187, 1922, -999, 174, -17, 83)
(133, 1807, -1178, 316, -13, 86)
(59, 1591, -1247, 221, 606, -195)
(161, 1825, -916, 875, -35, 238)
(135, 2045, -929, 230, -49, 87)
(107, 1818, -839, 165, -13, 52)
(166, 1841, -1009, 251, -41, 80)
(89, 1812, -839, 105, -7, 40)
(150, 1549, -918, 154, -36, 59)
(182, 1800, -1271, 168, -256, 48)
(79, 1580, -939, 123, -1, 40)
